A,TOTAL,KM2,AL035	: 	: 	: 	: 	3737 e	3737 e	3737 e	3737 e	3737 e	3737 e
A,TOTAL,KM2,AT33	12648 	12648 	12648 	12648 	12648 	12648 	12648 	12649 	12649 	12649 
A,TOTAL,KM2,AT331	1237 	1237 	1237 	1237 	1237 	1237 	1237 	1237 	1237 	1237 
A,TOTAL,KM2,AT332	2095 	2095 	2095 	2095 	2095 	2095 	2095 	2095 	2095 	2095 
A,TOTAL,KM2,AT333	2020 	2020 	2020 	2020 	2020 	2020 	2020 	2020 	2020 	2020 
A,TOTAL,KM2,AT334	3320 	3320 	3320 	3320 	3320 	3320 	3320 	3320 	3320 	3320 
A,TOTAL,KM2,AT335	3976 	3976 	3976 	3976 	3976 	3976 	3976 	3977 	3977 	3977 
A,TOTAL,KM2,AT34	2602 	2602 	2602 	2602 	2602 	2602 	2602 	2602 	2602 	2602 
A,TOTAL,KM2,AT341	1876 	1876 	1876 	1876 	1876 	1876 	1876 	1876 	1876 	1876 
A,TOTAL,KM2,AT342	726 	726 	726 	726 	726 	726 	726 	726 	726 	726 
A,TOTAL,KM2,BE	30665 	30666 	30666 	30666 	30667 	30667 	30667 	30667 	30667 	30667 
A,TOTAL,KM2,BE1	162 	162 	162 	162 	162 	162 	162 	162 	162 	162 
A,TOTAL,KM2,BE10	162 	162 	162 	162 	162 	162 	162 	162 	162 	162 
A,TOTAL,KM2,BE100	162 	162 	162 	162 	162 	162 	162 	162 	162 	162 
A,TOTAL,KM2,BE2	13597 	13599 	13599 	13599 	13599 	13599 	13599 	13599 	13599 	13599 
A,TOTAL,KM2,BE21	2876 	2876 	2876 	2876 	2876 	2876 	2876 	2876 	2876 	2876 
A,TOTAL,KM2,BE211	1004 	1004 	1004 	1004 	1004 	1004 	1004 	1004 	1004 	1004 
A,TOTAL,KM2,BE212	512 	512 	512 	512 	512 	512 	512 	512 	512 	512 
A,TOTAL,KM2,BE213	1360 	1360 	1360 	1360 	1360 	1360 	1360 	1360 	1360 	1360 
A,TOTAL,KM2,BE22	2428 	2429 	2429 	2429 	2429 	2429 	2429 	2429 	2429 	2429 
A,TOTAL,KM2,BE221	909 	909 	909 	909 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,BE222	886 	886 	886 	886 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,BE223	634 	634 	634 	634 	634 	634 	634 	634 	634 	634 
A,TOTAL,KM2,BE224	: m	: m	: m	: m	884 	884 	884 	884 	884 	884 
A,TOTAL,KM2,BE225	: m	: m	: m	: m	911 	911 	911 	911 	911 	911 
A,TOTAL,KM2,BE23	3008 	3009 	3009 	3009 	3009 	3009 	3009 	3009 	3009 	3009 
A,TOTAL,KM2,BE231	473 	473 	473 	473 	473 	473 	473 	473 	473 	473 
A,TOTAL,KM2,BE232	347 	347 	347 	347 	347 	347 	347 	347 	347 	347 
A,TOTAL,KM2,BE233	336 	336 	336 	336 	336 	336 	336 	336 	336 	336 
A,TOTAL,KM2,BE234	950 	950 	950 	950 	950 	950 	950 	950 	950 	950 
A,TOTAL,KM2,BE235	423 	423 	423 	423 	423 	423 	423 	423 	423 	423 
A,TOTAL,KM2,BE236	480 	480 	480 	480 	480 	480 	480 	480 	480 	480 
A,TOTAL,KM2,BE24	2119 	2118 	2118 	2118 	2118 	2118 	2118 	2118 	2118 	2118 
A,TOTAL,KM2,BE241	949 	949 	949 	949 	949 	949 	949 	949 	949 	949 
A,TOTAL,KM2,BE242	1169 	1169 	1169 	1169 	1169 	1169 	1169 	1169 	1169 	1169 
A,TOTAL,KM2,BE25	3167 	3167 	3167 	3167 	3167 	3167 	3167 	3167 	3167 	3167 
A,TOTAL,KM2,BE251	665 	665 	665 	665 	665 	665 	665 	665 	665 	665 
A,TOTAL,KM2,BE252	365 	365 	365 	365 	365 	365 	365 	365 	365 	365 
A,TOTAL,KM2,BE253	554 	554 	554 	554 	554 	554 	554 	554 	554 	554 
A,TOTAL,KM2,BE254	406 	406 	406 	406 	406 	406 	406 	406 	406 	406 
A,TOTAL,KM2,BE255	293 	293 	293 	293 	293 	293 	293 	293 	293 	293 
A,TOTAL,KM2,BE256	274 	274 	274 	274 	274 	274 	274 	274 	274 	274 
A,TOTAL,KM2,BE257	332 	332 	332 	332 	332 	332 	332 	332 	332 	332 
A,TOTAL,KM2,BE258	278 	278 	278 	278 	278 	278 	278 	278 	278 	278 
A,TOTAL,KM2,BE3	16905 	16905 	16905 	16905 	16906 	16906 	16906 	16906 	16906 	16906 
A,TOTAL,KM2,BE31	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 
A,TOTAL,KM2,BE310	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 
A,TOTAL,KM2,BE32	3814 	3813 	3813 	3813 	3814 	3814 	3814 	3814 	3814 	3814 
A,TOTAL,KM2,BE321	491 	491 	491 	491 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,BE322	559 	559 	559 	559 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,BE323	589 	589 	589 	589 	589 	589 	589 	589 	589 	589 
A,TOTAL,KM2,BE324	102 	102 	102 	102 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,BE325	519 	519 	519 	519 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,BE326	940 	940 	940 	940 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,BE327	613 	613 	613 	613 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,BE328	: m	: m	: m	: m	715 	715 	715 	715 	715 	715 
A,TOTAL,KM2,BE329	: m	: m	: m	: m	219 	219 	219 	219 	219 	219 
A,TOTAL,KM2,BE32A	: m	: m	: m	: m	672 	672 	672 	672 	672 	672 
A,TOTAL,KM2,BE32B	: m	: m	: m	: m	476 	476 	476 	476 	476 	476 
A,TOTAL,KM2,BE32C	: m	: m	: m	: m	358 	358 	358 	358 	358 	358 
A,TOTAL,KM2,BE32D	: m	: m	: m	: m	785 	785 	785 	785 	785 	785 
A,TOTAL,KM2,BE33	3858 	3858 	3858 	3858 	3858 	3858 	3858 	3858 	3858 	3858 
A,TOTAL,KM2,BE331	661 	661 	661 	661 	661 	661 	661 	661 	661 	661 
A,TOTAL,KM2,BE332	796 	796 	796 	796 	796 	796 	796 	796 	796 	796 
A,TOTAL,KM2,BE334	390 	390 	390 	390 	390 	390 	390 	390 	390 	390 
A,TOTAL,KM2,BE335	1164 	1164 	1164 	1164 	1164 	1164 	1164 	1164 	1164 	1164 
A,TOTAL,KM2,BE336	847 	847 	847 	847 	847 	847 	847 	847 	847 	847 
A,TOTAL,KM2,BE34	4460 	4461 	4461 	4461 	4461 	4461 	4461 	4461 	4461 	4461 
A,TOTAL,KM2,BE341	319 	319 	319 	319 	319 	319 	319 	319 	319 	319 
A,TOTAL,KM2,BE342	1047 	1047 	1047 	1047 	1047 	1047 	1047 	1047 	1047 	1047 
A,TOTAL,KM2,BE343	958 	958 	958 	958 	958 	958 	958 	958 	958 	958 
A,TOTAL,KM2,BE344	1359 	1359 	1359 	1359 	1359 	1359 	1359 	1359 	1359 	1359 
A,TOTAL,KM2,BE345	778 	778 	778 	778 	778 	778 	778 	778 	778 	778 
A,TOTAL,KM2,BE35	3676 	3676 	3676 	3676 	3676 	3676 	3676 	3676 	3676 	3676 
A,TOTAL,KM2,BE351	1597 	1597 	1597 	1597 	1597 	1597 	1597 	1597 	1597 	1597 
A,TOTAL,KM2,BE352	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 
A,TOTAL,KM2,BE353	911 	911 	911 	911 	911 	911 	911 	911 	911 	911 
A,TOTAL,KM2,BG	110995 	110996 	110996 	110996 	110996 	110996 	110996 	110996 	110996 	110996 
A,TOTAL,KM2,BG3	68328 	68329 	68329 	68329 	68329 	68329 	68329 	68329 	68329 	68329 
A,TOTAL,KM2,BG31	19068 	19068 	19068 	19068 	19068 	19068 	19068 	19068 	19068 	19068 
A,TOTAL,KM2,BG311	3035 	3035 	3035 	3035 	3035 	3035 	3035 	3035 	3035 	3035 
A,TOTAL,KM2,BG312	3629 	3629 	3629 	3629 	3629 	3629 	3629 	3629 	3629 	3629 
A,TOTAL,KM2,BG313	3620 	3620 	3620 	3620 	3620 	3620 	3620 	3620 	3620 	3620 
A,TOTAL,KM2,BG314	4651 	4651 	4651 	4651 	4651 	4651 	4651 	4651 	4651 	4651 
A,TOTAL,KM2,BG315	4133 	4133 	4133 	4133 	4133 	4133 	4133 	4133 	4133 	4133 
A,TOTAL,KM2,BG32	14812 	14812 	14812 	14812 	14812 	14812 	14812 	14812 	14812 	14812 
A,TOTAL,KM2,BG321	4661 	4661 	4661 	4661 	4661 	4661 	4661 	4661 	4661 	4661 
A,TOTAL,KM2,BG322	2023 	2023 	2023 	2023 	2023 	2023 	2023 	2023 	2023 	2023 
A,TOTAL,KM2,BG323	2868 	2868 	2868 	2868 	2868 	2868 	2868 	2868 	2868 	2868 
A,TOTAL,KM2,BG324	2414 	2414 	2414 	2414 	2414 	2414 	2414 	2414 	2414 	2414 
A,TOTAL,KM2,BG325	2846 	2846 	2846 	2846 	2846 	2846 	2846 	2846 	2846 	2846 
A,TOTAL,KM2,BG33	14647 	14648 	14648 	14648 	14648 	14648 	14648 	14648 	14648 	14648 
A,TOTAL,KM2,BG331	3822 	3822 	3822 	3822 	3822 	3822 	3822 	3822 	3822 	3822 
A,TOTAL,KM2,BG332	4720 	4720 	4720 	4720 	4720 	4720 	4720 	4720 	4720 	4720 
A,TOTAL,KM2,BG333	3395 	3395 	3395 	3395 	3395 	3395 	3395 	3395 	3395 	3395 
A,TOTAL,KM2,BG334	2711 	2711 	2711 	2711 	2711 	2711 	2711 	2711 	2711 	2711 
A,TOTAL,KM2,BG34	19801 	19801 	19801 	19801 	19801 	19801 	19801 	19801 	19801 	19801 
A,TOTAL,KM2,BG341	7751 	7751 	7751 	7751 	7751 	7751 	7751 	7751 	7751 	7751 
A,TOTAL,KM2,BG342	3544 	3544 	3544 	3544 	3544 	3544 	3544 	3544 	3544 	3544 
A,TOTAL,KM2,BG343	3356 	3356 	3356 	3356 	3356 	3356 	3356 	3356 	3356 	3356 
A,TOTAL,KM2,BG344	5150 	5150 	5150 	5150 	5150 	5150 	5150 	5150 	5150 	5150 
A,TOTAL,KM2,BG4	42667 	42667 	42667 	42667 	42667 	42667 	42667 	42667 	42667 	42667 
A,TOTAL,KM2,BG41	20300 	20301 	20301 	20301 	20301 	20301 	20301 	20301 	20301 	20301 
