A,TOTAL,KM2,AL035	: 	: 	: 	: 	3737 e	3737 e	3737 e	3737 e	3737 e	3737 e
A,TOTAL,KM2,DE12A	797 	797 	797 	797 	797 	797 	797 	797 	797 	797 
A,TOTAL,KM2,DE12B	574 	574 	574 	574 	574 	574 	574 	574 	574 	574 
A,TOTAL,KM2,DE12C	870 	870 	870 	870 	870 	870 	870 	870 	870 	870 
A,TOTAL,KM2,DE13	9356 	9355 	9355 	9355 	9355 	9355 	9355 	9355 	9355 	9355 
A,TOTAL,KM2,DE131	153 	153 	153 	153 	153 	153 	153 	153 	153 	153 
A,TOTAL,KM2,DE132	1378 	1378 	1378 	1378 	1378 	1378 	1378 	1378 	1378 	1378 
A,TOTAL,KM2,DE133	680 	680 	680 	680 	680 	680 	680 	680 	680 	680 
A,TOTAL,KM2,DE134	1860 	1860 	1860 	1860 	1860 	1860 	1860 	1860 	1860 	1860 
A,TOTAL,KM2,DE135	769 	769 	769 	769 	769 	769 	769 	769 	769 	769 
A,TOTAL,KM2,DE136	1025 	1025 	1025 	1025 	1025 	1025 	1025 	1025 	1025 	1025 
A,TOTAL,KM2,DE137	734 	734 	734 	734 	734 	734 	734 	734 	734 	734 
A,TOTAL,KM2,DE138	818 	818 	818 	818 	818 	818 	818 	818 	818 	818 
A,TOTAL,KM2,DE139	807 	807 	807 	807 	807 	807 	807 	807 	807 	807 
A,TOTAL,KM2,DE13A	1131 	1131 	1131 	1131 	1131 	1131 	1131 	1131 	1131 	1131 
A,TOTAL,KM2,DE14	8917 	8917 	8917 	8917 	8917 	8917 	8917 	8917 	8917 	8917 
A,TOTAL,KM2,DE141	1092 	1092 	1092 	1092 	1092 	1092 	1092 	1092 	1092 	1092 
A,TOTAL,KM2,DE142	519 	519 	519 	519 	519 	519 	519 	519 	519 	519 
A,TOTAL,KM2,DE143	918 	918 	918 	918 	918 	918 	918 	918 	918 	918 
A,TOTAL,KM2,DE144	119 	119 	119 	119 	119 	119 	119 	119 	119 	119 
A,TOTAL,KM2,DE145	1359 	1359 	1359 	1359 	1359 	1359 	1359 	1359 	1359 	1359 
A,TOTAL,KM2,DE146	1409 	1409 	1409 	1409 	1409 	1409 	1409 	1409 	1409 	1409 
A,TOTAL,KM2,DE147	665 	665 	665 	665 	665 	665 	665 	665 	665 	665 
A,TOTAL,KM2,DE148	1632 	1632 	1632 	1632 	1632 	1632 	1632 	1632 	1632 	1632 
A,TOTAL,KM2,DE149	1204 	1204 	1204 	1204 	1204 	1204 	1204 	1204 	1204 	1204 
A,TOTAL,KM2,DE2	70542 	70543 	70543 	70543 	70543 	70543 	70543 	70543 	70543 	70543 
A,TOTAL,KM2,DE21	17529 	17528 	17528 	17528 	17528 	17528 	17528 	17528 	17528 	17528 
A,TOTAL,KM2,DE211	133 	133 	133 	133 	133 	133 	133 	133 	133 	133 
A,TOTAL,KM2,DE212	311 	311 	311 	311 	311 	311 	311 	311 	311 	311 
A,TOTAL,KM2,DE213	37 	37 	37 	37 	37 	37 	37 	37 	37 	37 
A,TOTAL,KM2,DE214	569 	569 	569 	569 	569 	569 	569 	569 	569 	569 
A,TOTAL,KM2,DE215	840 	840 	840 	840 	840 	840 	840 	840 	840 	840 
A,TOTAL,KM2,DE216	1111 	1111 	1111 	1111 	1111 	1111 	1111 	1111 	1111 	1111 
A,TOTAL,KM2,DE217	579 	579 	579 	579 	579 	579 	579 	579 	579 	579 
A,TOTAL,KM2,DE218	549 	549 	549 	549 	549 	549 	549 	549 	549 	549 
A,TOTAL,KM2,DE219	1214 	1214 	1214 	1214 	1214 	1214 	1214 	1214 	1214 	1214 
A,TOTAL,KM2,DE21A	871 	871 	871 	871 	871 	871 	871 	871 	871 	871 
A,TOTAL,KM2,DE21B	800 	800 	800 	800 	800 	800 	800 	800 	800 	800 
A,TOTAL,KM2,DE21C	435 	435 	435 	435 	435 	435 	435 	435 	435 	435 
A,TOTAL,KM2,DE21D	1012 	1012 	1012 	1012 	1012 	1012 	1012 	1012 	1012 	1012 
A,TOTAL,KM2,DE21E	804 	804 	804 	804 	804 	804 	804 	804 	804 	804 
A,TOTAL,KM2,DE21F	866 	866 	866 	866 	866 	866 	866 	866 	866 	866 
A,TOTAL,KM2,DE21G	805 	805 	805 	805 	805 	805 	805 	805 	805 	805 
A,TOTAL,KM2,DE21H	664 	664 	664 	664 	664 	664 	664 	664 	664 	664 
A,TOTAL,KM2,DE21I	740 	740 	740 	740 	740 	740 	740 	740 	740 	740 
A,TOTAL,KM2,DE21J	761 	761 	761 	761 	761 	761 	761 	761 	761 	761 
A,TOTAL,KM2,DE21K	1439 	1439 	1439 	1439 	1439 	1439 	1439 	1439 	1439 	1439 
A,TOTAL,KM2,DE21L	488 	488 	488 	488 	488 	488 	488 	488 	488 	488 
A,TOTAL,KM2,DE21M	1534 	1534 	1534 	1534 	1534 	1534 	1534 	1534 	1534 	1534 
A,TOTAL,KM2,DE21N	966 	966 	966 	966 	966 	966 	966 	966 	966 	966 
A,TOTAL,KM2,DE22	10326 	10328 	10328 	10328 	10328 	10328 	10328 	10328 	10328 	10328 
A,TOTAL,KM2,DE221	66 	66 	66 	66 	66 	66 	66 	66 	66 	66 
A,TOTAL,KM2,DE222	70 	70 	70 	70 	70 	70 	70 	70 	70 	70 
A,TOTAL,KM2,DE223	68 	68 	68 	68 	68 	68 	68 	68 	68 	68 
A,TOTAL,KM2,DE224	861 	861 	861 	861 	861 	861 	861 	861 	861 	861 
A,TOTAL,KM2,DE225	984 	984 	984 	984 	984 	984 	984 	984 	984 	984 
A,TOTAL,KM2,DE226	1065 	1065 	1065 	1065 	1065 	1065 	1065 	1065 	1065 	1065 
A,TOTAL,KM2,DE227	1348 	1348 	1348 	1348 	1348 	1348 	1348 	1348 	1348 	1348 
A,TOTAL,KM2,DE228	1530 	1530 	1530 	1530 	1530 	1530 	1530 	1530 	1530 	1530 
A,TOTAL,KM2,DE229	975 	975 	975 	975 	975 	975 	975 	975 	975 	975 
A,TOTAL,KM2,DE22A	1281 	1281 	1281 	1281 	1281 	1281 	1281 	1281 	1281 	1281 
A,TOTAL,KM2,DE22B	1202 	1202 	1202 	1202 	1202 	1202 	1202 	1202 	1202 	1202 
A,TOTAL,KM2,DE22C	878 	878 	878 	878 	878 	878 	878 	878 	878 	878 
A,TOTAL,KM2,DE23	9690 	9691 	9691 	9691 	9691 	9691 	9691 	9691 	9691 	9691 
A,TOTAL,KM2,DE231	50 	50 	50 	50 	50 	50 	50 	50 	50 	50 
A,TOTAL,KM2,DE232	81 	81 	81 	81 	81 	81 	81 	81 	81 	81 
A,TOTAL,KM2,DE233	71 	71 	71 	71 	71 	71 	71 	71 	71 	71 
A,TOTAL,KM2,DE234	1256 	1256 	1256 	1256 	1256 	1256 	1256 	1256 	1256 	1256 
A,TOTAL,KM2,DE235	1520 	1520 	1520 	1520 	1520 	1520 	1520 	1520 	1520 	1520 
A,TOTAL,KM2,DE236	1344 	1344 	1344 	1344 	1344 	1344 	1344 	1344 	1344 	1344 
A,TOTAL,KM2,DE237	1428 	1428 	1428 	1428 	1428 	1428 	1428 	1428 	1428 	1428 
A,TOTAL,KM2,DE238	1392 	1392 	1392 	1392 	1392 	1392 	1392 	1392 	1392 	1392 
A,TOTAL,KM2,DE239	1465 	1465 	1465 	1465 	1465 	1465 	1465 	1465 	1465 	1465 
A,TOTAL,KM2,DE23A	1084 	1084 	1084 	1084 	1084 	1084 	1084 	1084 	1084 	1084 
A,TOTAL,KM2,DE24	7231 	7232 	7232 	7232 	7232 	7232 	7232 	7232 	7232 	7232 
A,TOTAL,KM2,DE241	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 
A,TOTAL,KM2,DE242	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 
A,TOTAL,KM2,DE243	48 	48 	48 	48 	48 	48 	48 	48 	48 	48 
A,TOTAL,KM2,DE244	58 	58 	58 	58 	58 	58 	58 	58 	58 	58 
A,TOTAL,KM2,DE245	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 
A,TOTAL,KM2,DE246	1274 	1274 	1274 	1274 	1274 	1274 	1274 	1274 	1274 	1274 
A,TOTAL,KM2,DE247	590 	590 	590 	590 	590 	590 	590 	590 	590 	590 
A,TOTAL,KM2,DE248	643 	643 	643 	643 	643 	643 	643 	643 	643 	643 
A,TOTAL,KM2,DE249	893 	893 	893 	893 	893 	893 	893 	893 	893 	893 
A,TOTAL,KM2,DE24A	652 	652 	652 	652 	652 	652 	652 	652 	652 	652 
A,TOTAL,KM2,DE24B	658 	658 	658 	658 	658 	658 	658 	658 	658 	658 
A,TOTAL,KM2,DE24C	520 	520 	520 	520 	520 	520 	520 	520 	520 	520 
A,TOTAL,KM2,DE24D	606 	606 	606 	606 	606 	606 	606 	606 	606 	606 
A,TOTAL,KM2,DE25	7244 	7243 	7243 	7243 	7243 	7243 	7243 	7243 	7243 	7243 
A,TOTAL,KM2,DE251	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
A,TOTAL,KM2,DE252	77 	77 	77 	77 	77 	77 	77 	77 	77 	77 
A,TOTAL,KM2,DE253	63 	63 	63 	63 	63 	63 	63 	63 	63 	63 
A,TOTAL,KM2,DE254	186 	186 	186 	186 	186 	186 	186 	186 	186 	186 
A,TOTAL,KM2,DE255	41 	41 	41 	41 	41 	41 	41 	41 	41 	41 
A,TOTAL,KM2,DE256	1971 	1971 	1971 	1971 	1971 	1971 	1971 	1971 	1971 	1971 
A,TOTAL,KM2,DE257	565 	565 	565 	565 	565 	565 	565 	565 	565 	565 
A,TOTAL,KM2,DE258	307 	307 	307 	307 	307 	307 	307 	307 	307 	307 
A,TOTAL,KM2,DE259	800 	800 	800 	800 	800 	800 	800 	800 	800 	800 
A,TOTAL,KM2,DE25A	1267 	1267 	1267 	1267 	1267 	1267 	1267 	1267 	1267 	1267 
A,TOTAL,KM2,DE25B	895 	895 	895 	895 	895 	895 	895 	895 	895 	895 
A,TOTAL,KM2,DE25C	971 	971 	971 	971 	971 	971 	971 	971 	971 	971 
A,TOTAL,KM2,DE26	8530 	8530 	8530 	8530 	8530 	8530 	8530 	8530 	8530 	8530 
A,TOTAL,KM2,DE261	62 	62 	62 	62 	62 	62 	62 	62 	62 	62 
A,TOTAL,KM2,DE262	36 	36 	36 	36 	36 	36 	36 	36 	36 	36 
A,TOTAL,KM2,DE263	88 	88 	88 	88 	88 	88 	88 	88 	88 	88 
A,TOTAL,KM2,DE264	699 	699 	699 	699 	699 	699 	699 	699 	699 	699 
A,TOTAL,KM2,DE265	1137 	1137 	1137 	1137 	1137 	1137 	1137 	1137 	1137 	1137 
A,TOTAL,KM2,DE266	1022 	1022 	1022 	1022 	1022 	1022 	1022 	1022 	1022 	1022 
A,TOTAL,KM2,DE267	956 	956 	956 	956 	956 	956 	956 	956 	956 	956 
A,TOTAL,KM2,DE268	684 	684 	684 	684 	684 	684 	684 	684 	684 	684 
A,TOTAL,KM2,DE269	716 	716 	716 	716 	716 	716 	716 	716 	716 	716 
A,TOTAL,KM2,DE26A	1321 	1321 	1321 	1321 	1321 	1321 	1321 	1321 	1321 	1321 
A,TOTAL,KM2,DE26B	841 	841 	841 	841 	841 	841 	841 	841 	841 	841 
A,TOTAL,KM2,DE26C	968 	968 	968 	968 	968 	968 	968 	968 	968 	968 
A,TOTAL,KM2,DE27	9992 	9991 	9991 	9991 	9991 	9991 	9991 	9991 	9991 	9991 
A,TOTAL,KM2,DE271	147 	147 	147 	147 	147 	147 	147 	147 	147 	147 
A,TOTAL,KM2,DE272	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 
A,TOTAL,KM2,DE273	63 	63 	63 	63 	63 	63 	63 	63 	63 	63 
A,TOTAL,KM2,DE274	70 	70 	70 	70 	70 	70 	70 	70 	70 	70 
A,TOTAL,KM2,DE275	780 	780 	780 	780 	780 	780 	780 	780 	780 	780 
A,TOTAL,KM2,DE276	1071 	1071 	1071 	1071 	1071 	1071 	1071 	1071 	1071 	1071 
A,TOTAL,KM2,DE277	792 	792 	792 	792 	792 	792 	792 	792 	792 	792 
A,TOTAL,KM2,DE278	762 	762 	762 	762 	762 	762 	762 	762 	762 	762 
A,TOTAL,KM2,DE279	516 	516 	516 	516 	516 	516 	516 	516 	516 	516 
A,TOTAL,KM2,DE27A	323 	323 	323 	323 	323 	323 	323 	323 	323 	323 
A,TOTAL,KM2,DE27B	1394 	1394 	1394 	1394 	1394 	1394 	1394 	1394 	1394 	1394 
A,TOTAL,KM2,DE27C	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 
A,TOTAL,KM2,DE27D	1275 	1275 	1275 	1275 	1275 	1275 	1275 	1275 	1275 	1275 
A,TOTAL,KM2,DE27E	1528 	1528 	1528 	1528 	1528 	1528 	1528 	1528 	1528 	1528 
A,TOTAL,KM2,DE3	891 	891 	891 	891 	891 	891 	891 	891 	891 	891 
A,TOTAL,KM2,DE30	891 	891 	891 	891 	891 	891 	891 	891 	891 	891 
A,TOTAL,KM2,DE300	891 	891 	891 	891 	891 	891 	891 	891 	891 	891 
A,TOTAL,KM2,DE4	29654 	29656 	29656 	29656 	29656 	29656 	29656 	29656 	29656 	29656 
A,TOTAL,KM2,DE40	29654 	29656 	29656 	29656 	29656 	29656 	29656 	29656 	29656 	29656 
A,TOTAL,KM2,DE401	230 	230 	230 	230 	230 	230 	230 	230 	230 	230 
A,TOTAL,KM2,DE402	166 	166 	166 	166 	166 	166 	166 	166 	166 	166 
A,TOTAL,KM2,DE403	148 	148 	148 	148 	148 	148 	148 	148 	148 	148 
A,TOTAL,KM2,DE404	188 	188 	188 	188 	188 	188 	188 	188 	188 	188 
A,TOTAL,KM2,DE405	1480 	1480 	1480 	1480 	1480 	1480 	1480 	1480 	1480 	1480 
A,TOTAL,KM2,DE406	2274 	2274 	2274 	2274 	2274 	2274 	2274 	2274 	2274 	2274 
A,TOTAL,KM2,DE407	1900 	1900 	1900 	1900 	1900 	1900 	1900 	1900 	1900 	1900 
A,TOTAL,KM2,DE408	1727 	1727 	1727 	1727 	1727 	1727 	1727 	1727 	1727 	1727 
A,TOTAL,KM2,DE409	2159 	2159 	2159 	2159 	2159 	2159 	2159 	2159 	2159 	2159 
A,TOTAL,KM2,DE40A	1808 	1808 	1808 	1808 	1808 	1808 	1808 	1808 	1808 	1808 
A,TOTAL,KM2,DE40B	1223 	1223 	1223 	1223 	1223 	1223 	1223 	1223 	1223 	1223 
A,TOTAL,KM2,DE40C	2257 	2257 	2257 	2257 	2257 	2257 	2257 	2257 	2257 	2257 
A,TOTAL,KM2,DE40D	2527 	2527 	2527 	2527 	2527 	2527 	2527 	2527 	2527 	2527 
A,TOTAL,KM2,DE40E	2592 	2592 	2592 	2592 	2592 	2592 	2592 	2592 	2592 	2592 
A,TOTAL,KM2,DE40F	2139 	2139 	2139 	2139 	2139 	2139 	2139 	2139 	2139 	2139 
A,TOTAL,KM2,DE40G	1657 	1657 	1657 	1657 	1657 	1657 	1657 	1657 	1657 	1657 
A,TOTAL,KM2,DE40H	2104 	2104 	2104 	2104 	2104 	2104 	2104 	2104 	2104 	2104 
A,TOTAL,KM2,DE40I	3077 	3077 	3077 	3077 	3077 	3077 	3077 	3077 	3077 	3077 
A,TOTAL,KM2,DE5	420 	420 	420 	420 	420 	420 	420 	420 	420 	420 
A,TOTAL,KM2,DE50	420 	420 	420 	420 	420 	420 	420 	420 	420 	420 
A,TOTAL,KM2,DE501	326 	326 	326 	326 	326 	326 	326 	326 	326 	326 
A,TOTAL,KM2,DE502	94 	94 	94 	94 	94 	94 	94 	94 	94 	94 
A,TOTAL,KM2,DE6	755 	755 	755 	755 	755 	755 	755 	755 	755 	755 
A,TOTAL,KM2,DE60	755 	755 	755 	755 	755 	755 	755 	755 	755 	755 
A,TOTAL,KM2,DE600	755 	755 	755 	755 	755 	755 	755 	755 	755 	755 
A,TOTAL,KM2,DE7	21115 	21115 	21115 	21115 	21115 	21115 	21115 	21115 	21115 	21115 
A,TOTAL,KM2,DE71	7445 	7445 	7445 	7445 	7445 	7445 	7445 	7445 	7445 	7445 
A,TOTAL,KM2,DE711	122 	122 	122 	122 	122 	122 	122 	122 	122 	122 
A,TOTAL,KM2,DE712	248 	248 	248 	248 	248 	248 	248 	248 	248 	248 
A,TOTAL,KM2,DE713	45 	45 	45 	45 	45 	45 	45 	45 	45 	45 
A,TOTAL,KM2,DE714	204 	204 	204 	204 	204 	204 	204 	204 	204 	204 
A,TOTAL,KM2,DE715	720 	720 	720 	720 	720 	720 	720 	720 	720 	720 
A,TOTAL,KM2,DE716	659 	659 	659 	659 	659 	659 	659 	659 	659 	659 
A,TOTAL,KM2,DE717	453 	453 	453 	453 	453 	453 	453 	453 	453 	453 
A,TOTAL,KM2,DE718	482 	482 	482 	482 	482 	482 	482 	482 	482 	482 
A,TOTAL,KM2,DE719	1398 	1398 	1398 	1398 	1398 	1398 	1398 	1398 	1398 	1398 
A,TOTAL,KM2,DE71A	222 	222 	222 	222 	222 	222 	222 	222 	222 	222 
A,TOTAL,KM2,DE71B	624 	624 	624 	624 	624 	624 	624 	624 	624 	624 
A,TOTAL,KM2,DE71C	356 	356 	356 	356 	356 	356 	356 	356 	356 	356 
A,TOTAL,KM2,DE71D	811 	811 	811 	811 	811 	811 	811 	811 	811 	811 
A,TOTAL,KM2,DE71E	1101 	1101 	1101 	1101 	1101 	1101 	1101 	1101 	1101 	1101 
A,TOTAL,KM2,DE72	5381 	5382 	5382 	5382 	5382 	5382 	5382 	5382 	5382 	5382 
A,TOTAL,KM2,DE721	855 	855 	855 	855 	855 	855 	855 	855 	855 	855 
A,TOTAL,KM2,DE722	1067 	1067 	1067 	1067 	1067 	1067 	1067 	1067 	1067 	1067 
A,TOTAL,KM2,DE723	738 	738 	738 	738 	738 	738 	738 	738 	738 	738 
A,TOTAL,KM2,DE724	1263 	1263 	1263 	1263 	1263 	1263 	1263 	1263 	1263 	1263 
A,TOTAL,KM2,DE725	1459 	1459 	1459 	1459 	1459 	1459 	1459 	1459 	1459 	1459 
A,TOTAL,KM2,DE73	8289 	8288 	8288 	8288 	8288 	8288 	8288 	8288 	8288 	8288 
A,TOTAL,KM2,DE731	107 	107 	107 	107 	107 	107 	107 	107 	107 	107 
A,TOTAL,KM2,DE732	1380 	1380 	1380 	1380 	1380 	1380 	1380 	1380 	1380 	1380 
A,TOTAL,KM2,DE733	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 
A,TOTAL,KM2,DE734	1293 	1293 	1293 	1293 	1293 	1293 	1293 	1293 	1293 	1293 
A,TOTAL,KM2,DE735	1538 	1538 	1538 	1538 	1538 	1538 	1538 	1538 	1538 	1538 
A,TOTAL,KM2,DE736	1848 	1848 	1848 	1848 	1848 	1848 	1848 	1848 	1848 	1848 
A,TOTAL,KM2,DE737	1025 	1025 	1025 	1025 	1025 	1025 	1025 	1025 	1025 	1025 
A,TOTAL,KM2,DE8	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 
A,TOTAL,KM2,DE80	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 
A,TOTAL,KM2,DE803	181 	181 	181 	181 	181 	181 	181 	181 	181 	181 
A,TOTAL,KM2,DE804	131 	131 	131 	131 	131 	131 	131 	131 	131 	131 
A,TOTAL,KM2,DE80J	5496 	5496 	5496 	5496 	5496 	5496 	5496 	5496 	5496 	5496 
A,TOTAL,KM2,DE80K	3431 	3431 	3431 	3431 	3431 	3431 	3431 	3431 	3431 	3431 
A,TOTAL,KM2,DE80L	3214 	3214 	3214 	3214 	3214 	3214 	3214 	3214 	3214 	3214 
A,TOTAL,KM2,DE80M	2127 	2127 	2127 	2127 	2127 	2127 	2127 	2127 	2127 	2127 
A,TOTAL,KM2,DE80N	3946 	3946 	3946 	3946 	3946 	3946 	3946 	3946 	3946 	3946 
A,TOTAL,KM2,DE80O	4767 	4767 	4767 	4767 	4767 	4767 	4767 	4767 	4767 	4767 
A,TOTAL,KM2,DE9	47707 	47710 	47710 	47710 	47710 	47710 	47710 	47710 	47710 	47710 
A,TOTAL,KM2,DE91	8115 	8116 	8116 	8116 	8116 	8116 	8116 	8116 	8116 	8116 
A,TOTAL,KM2,DE911	193 	193 	193 	193 	193 	193 	193 	193 	193 	193 
A,TOTAL,KM2,DE912	224 	224 	224 	224 	224 	224 	224 	224 	224 	224 
A,TOTAL,KM2,DE913	205 	205 	205 	205 	205 	205 	205 	205 	205 	205 
A,TOTAL,KM2,DE914	1568 	1568 	1568 	1568 	1568 	1568 	1568 	1568 	1568 	1568 
A,TOTAL,KM2,DE915	1117 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,DE916	967 	967 	967 	967 	967 	967 	967 	967 	967 	967 
A,TOTAL,KM2,DE917	676 	676 	676 	676 	676 	676 	676 	676 	676 	676 
A,TOTAL,KM2,DE918	1269 	1269 	1269 	1269 	1269 	1269 	1269 	1269 	1269 	1269 
A,TOTAL,KM2,DE919	636 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,DE91A	537 	537 	537 	537 	537 	537 	537 	537 	537 	537 
A,TOTAL,KM2,DE91B	724 	724 	724 	724 	724 	724 	724 	724 	724 	724 
A,TOTAL,KM2,DE91C	: m	1753 	1753 	1753 	1753 	1753 	1753 	1753 	1753 	1753 
A,TOTAL,KM2,DE92	9065 	9065 	9065 	9065 	9065 	9065 	9065 	9065 	9065 	9065 
A,TOTAL,KM2,DE922	1991 	1991 	1991 	1991 	1991 	1991 	1991 	1991 	1991 	1991 
A,TOTAL,KM2,DE923	798 	798 	798 	798 	798 	798 	798 	798 	798 	798 
A,TOTAL,KM2,DE925	1208 	1208 	1208 	1208 	1208 	1208 	1208 	1208 	1208 	1208 
A,TOTAL,KM2,DE926	694 	694 	694 	694 	694 	694 	694 	694 	694 	694 
A,TOTAL,KM2,DE927	1401 	1401 	1401 	1401 	1401 	1401 	1401 	1401 	1401 	1401 
A,TOTAL,KM2,DE928	676 	676 	676 	676 	676 	676 	676 	676 	676 	676 
A,TOTAL,KM2,DE929	2297 	2297 	2297 	2297 	2297 	2297 	2297 	2297 	2297 	2297 
A,TOTAL,KM2,DE93	15542 	15542 	15542 	15542 	15542 	15542 	15542 	15542 	15542 	15542 
A,TOTAL,KM2,DE931	1551 	1551 	1551 	1551 	1551 	1551 	1551 	1551 	1551 	1551 
A,TOTAL,KM2,DE932	2059 	2059 	2059 	2059 	2059 	2059 	2059 	2059 	2059 	2059 
A,TOTAL,KM2,DE933	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 
A,TOTAL,KM2,DE934	1227 	1227 	1227 	1227 	1227 	1227 	1227 	1227 	1227 	1227 
A,TOTAL,KM2,DE935	1328 	1328 	1328 	1328 	1328 	1328 	1328 	1328 	1328 	1328 
A,TOTAL,KM2,DE936	653 	653 	653 	653 	653 	653 	653 	653 	653 	653 
A,TOTAL,KM2,DE937	2075 	2075 	2075 	2075 	2075 	2075 	2075 	2075 	2075 	2075 
A,TOTAL,KM2,DE938	1881 	1881 	1881 	1881 	1881 	1881 	1881 	1881 	1881 	1881 
A,TOTAL,KM2,DE939	1267 	1267 	1267 	1267 	1267 	1267 	1267 	1267 	1267 	1267 
A,TOTAL,KM2,DE93A	1463 	1463 	1463 	1463 	1463 	1463 	1463 	1463 	1463 	1463 
A,TOTAL,KM2,DE93B	789 	789 	789 	789 	789 	789 	789 	789 	789 	789 
A,TOTAL,KM2,DE94	14986 	14987 	14987 	14987 	14987 	14987 	14987 	14987 	14987 	14987 
A,TOTAL,KM2,DE941	62 	62 	62 	62 	62 	62 	62 	62 	62 	62 
A,TOTAL,KM2,DE942	112 	112 	112 	112 	112 	112 	112 	112 	112 	112 
A,TOTAL,KM2,DE943	103 	103 	103 	103 	103 	103 	103 	103 	103 	103 
A,TOTAL,KM2,DE944	120 	120 	120 	120 	120 	120 	120 	120 	120 	120 
A,TOTAL,KM2,DE945	107 	107 	107 	107 	107 	107 	107 	107 	107 	107 
A,TOTAL,KM2,DE946	731 	731 	731 	731 	731 	731 	731 	731 	731 	731 
A,TOTAL,KM2,DE947	1287 	1287 	1287 	1287 	1287 	1287 	1287 	1287 	1287 	1287 
A,TOTAL,KM2,DE948	1420 	1420 	1420 	1420 	1420 	1420 	1420 	1420 	1420 	1420 
A,TOTAL,KM2,DE949	2884 	2884 	2884 	2884 	2884 	2884 	2884 	2884 	2884 	2884 
A,TOTAL,KM2,DE94A	610 	610 	610 	610 	610 	610 	610 	610 	610 	610 
A,TOTAL,KM2,DE94B	982 	982 	982 	982 	982 	982 	982 	982 	982 	982 
A,TOTAL,KM2,DE94C	1086 	1086 	1086 	1086 	1086 	1086 	1086 	1086 	1086 	1086 
A,TOTAL,KM2,DE94D	1065 	1065 	1065 	1065 	1065 	1065 	1065 	1065 	1065 	1065 
A,TOTAL,KM2,DE94E	2122 	2122 	2122 	2122 	2122 	2122 	2122 	2122 	2122 	2122 
A,TOTAL,KM2,DE94F	814 	814 	814 	814 	814 	814 	814 	814 	814 	814 
A,TOTAL,KM2,DE94G	825 	825 	825 	825 	825 	825 	825 	825 	825 	825 
A,TOTAL,KM2,DE94H	657 	657 	657 	657 	657 	657 	657 	657 	657 	657 
A,TOTAL,KM2,DEA	34113 	34110 	34110 	34110 	34110 	34110 	34110 	34110 	34110 	34110 
A,TOTAL,KM2,DEA1	5292 	5291 	5291 	5291 	5291 	5291 	5291 	5291 	5291 	5291 
A,TOTAL,KM2,DEA11	217 	217 	217 	217 	217 	217 	217 	217 	217 	217 
A,TOTAL,KM2,DEA12	233 	233 	233 	233 	233 	233 	233 	233 	233 	233 
A,TOTAL,KM2,DEA13	210 	210 	210 	210 	210 	210 	210 	210 	210 	210 
A,TOTAL,KM2,DEA14	138 	138 	138 	138 	138 	138 	138 	138 	138 	138 
A,TOTAL,KM2,DEA15	170 	170 	170 	170 	170 	170 	170 	170 	170 	170 
A,TOTAL,KM2,DEA16	91 	91 	91 	91 	91 	91 	91 	91 	91 	91 
A,TOTAL,KM2,DEA17	77 	77 	77 	77 	77 	77 	77 	77 	77 	77 
A,TOTAL,KM2,DEA18	75 	75 	75 	75 	75 	75 	75 	75 	75 	75 
A,TOTAL,KM2,DEA19	90 	90 	90 	90 	90 	90 	90 	90 	90 	90 
A,TOTAL,KM2,DEA1A	168 	168 	168 	168 	168 	168 	168 	168 	168 	168 
A,TOTAL,KM2,DEA1B	1233 	1233 	1233 	1233 	1233 	1233 	1233 	1233 	1233 	1233 
A,TOTAL,KM2,DEA1C	407 	407 	407 	407 	407 	407 	407 	407 	407 	407 
A,TOTAL,KM2,DEA1D	576 	576 	576 	576 	576 	576 	576 	576 	576 	576 
A,TOTAL,KM2,DEA1E	563 	563 	563 	563 	563 	563 	563 	563 	563 	563 
A,TOTAL,KM2,DEA1F	1043 	1043 	1043 	1043 	1043 	1043 	1043 	1043 	1043 	1043 
A,TOTAL,KM2,DEA2	7364 	7365 	7365 	7365 	7365 	7365 	7365 	7365 	7365 	7365 
A,TOTAL,KM2,DEA22	141 	141 	141 	141 	141 	141 	141 	141 	141 	141 
A,TOTAL,KM2,DEA23	405 	405 	405 	405 	405 	405 	405 	405 	405 	405 
A,TOTAL,KM2,DEA24	79 	79 	79 	79 	79 	79 	79 	79 	79 	79 
A,TOTAL,KM2,DEA26	942 	942 	942 	942 	942 	942 	942 	942 	942 	942 
A,TOTAL,KM2,DEA27	705 	705 	705 	705 	705 	705 	705 	705 	705 	705 
A,TOTAL,KM2,DEA28	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 
