freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	2020 	2021 	2022 	2023 	2024 
A,DOM,NR,I551-I553,ITF4	8940988 	11577558 	11738303 	11714009 	11862805 
A,DOM,NR,I551-I553,ITF43	650842 	905261 	983056 	926055 	903670 
A,DOM,NR,I551-I553,ITF44	987011 	1472007 	1396167 	1391587 	1416897 
A,DOM,NR,I551-I553,ITF45	3052719 	3946164 	3857597 	3981424 	4103451 
A,DOM,NR,I551-I553,ITF46	2813198 	3563051 	3557053 	3526546 	3510961 
A,DOM,NR,I551-I553,ITF47	1220237 	1413336 	1667656 	1608122 	1629000 
A,DOM,NR,I551-I553,ITF48	216981 	277739 	276774 	280275 	298826 
A,DOM,NR,I551-I553,ITF5	1308083 	1669567 	1900322 	2109144 	2063447 
A,DOM,NR,I551-I553,ITF51	396049 	502817 	493998 	559945 	577274 
A,DOM,NR,I551-I553,ITF52	912034 	1166750 	1406324 	1549199 	1486173 
A,DOM,NR,I551-I553,ITF6	4210219 	5348243 	6065688 	6614203 	6537862 
A,DOM,NR,I551-I553,ITF61	1841340 	2019227 	2566291 	2927147 	3008715 
A,DOM,NR,I551-I553,ITF62	404358 	512642 	613288 	635514 	610068 
A,DOM,NR,I551-I553,ITF63	671975 	1146978 	1053288 	1004343 	1004579 
A,DOM,NR,I551-I553,ITF64	1054750 	1382694 	1446385 	1646066 	1538898 
A,DOM,NR,I551-I553,ITF65	237796 	286702 	386436 	401133 	375602 
A,DOM,NR,I551-I553,ITG	9904096 	13852464 	16349507 	15809934 	16284457 
A,DOM,NR,I551-I553,ITG1	5165065 	6982941 	8355072 	8427343 	8650869 
A,DOM,NR,I551-I553,ITG11	974280 	1246283 	1340721 	1465135 	1599689 
A,DOM,NR,I551-I553,ITG12	996706 	1483486 	1823414 	1814337 	1851999 
A,DOM,NR,I551-I553,ITG13	1117466 	1513828 	1773894 	1537499 	1697088 
A,DOM,NR,I551-I553,ITG14	475053 	673631 	828852 	908317 	822729 
A,DOM,NR,I551-I553,ITG15	128961 	174329 	163101 	181902 	200662 
A,DOM,NR,I551-I553,ITG16	43706 	61609 	71181 	91648 	93834 
A,DOM,NR,I551-I553,ITG17	551530 	752066 	950264 	996859 	913583 
A,DOM,NR,I551-I553,ITG18	420134 	558041 	702041 	728438 	741681 
A,DOM,NR,I551-I553,ITG19	457229 	519668 	701604 	703208 	729604 
A,DOM,NR,I551-I553,ITG2	4739031 	6869523 	7994435 	7382591 	7633588 
A,DOM,NR,I551-I553,ITG2D	2142522 	3222948 	3839016 	3558197 	3622351 
A,DOM,NR,I551-I553,ITG2E	950827 	1309973 	1445748 	1274073 	1324661 
A,DOM,NR,I551-I553,ITG2F	442107 	628818 	744476 	712918 	763916 
A,DOM,NR,I551-I553,ITG2G	309958 	402648 	451814 	469609 	421521 
A,DOM,NR,I551-I553,ITG2H	893617 	1305136 	1513381 	1367794 	1501139 
A,DOM,NR,I551-I553,ITH	55983939 	68613429 	75958087 	76018664 	75912073 
A,DOM,NR,I551-I553,ITH1	8855000 	9001916 	10823496 	10649009 	10494103 
A,DOM,NR,I551-I553,ITH10	8855000 	9001916 	10823496 	10649009 	10494103 
A,DOM,NR,I551-I553,ITH2	7973937 	8208278 	10775002 	11033318 	11025390 
A,DOM,NR,I551-I553,ITH20	7973937 	8208278 	10775002 	11033318 	11025390 
A,DOM,NR,I551-I553,ITH3	17230354 	22344562 	21868391 	22097826 	21693890 
A,DOM,NR,I551-I553,ITH31	2786044 	3839884 	4110932 	4185552 	4175534 
A,DOM,NR,I551-I553,ITH32	991403 	1271315 	1407541 	1526084 	1532102 
A,DOM,NR,I551-I553,ITH33	2093436 	2280158 	2200334 	2298445 	2210112 
A,DOM,NR,I551-I553,ITH34	684172 	929695 	886527 	989966 	1014663 
A,DOM,NR,I551-I553,ITH35	8298118 	10616417 	9317230 	9080580 	8856141 
A,DOM,NR,I551-I553,ITH36	1646472 	2508148 	3129345 	3131031 	3162259 
A,DOM,NR,I551-I553,ITH37	730709 	898945 	816482 	886168 	743079 
A,DOM,NR,I551-I553,ITH4	2896065 	3758713 	4110859 	4149828 	4131497 
A,DOM,NR,I551-I553,ITH41	225984 	318081 	365219 	375462 	368882 
A,DOM,NR,I551-I553,ITH42	1895241 	2405525 	2574962 	2519975 	2440836 
A,DOM,NR,I551-I553,ITH43	422353 	523456 	523046 	554922 	556380 
A,DOM,NR,I551-I553,ITH44	352487 	511651 	647632 	699469 	765399 
A,DOM,NR,I551-I553,ITH5	19028583 	25299960 	28380339 	28088683 	28567193 
A,DOM,NR,I551-I553,ITH51	259525 	350521 	432776 	435924 	414304 
A,DOM,NR,I551-I553,ITH52	595966 	812175 	1001728 	985177 	988237 
A,DOM,NR,I551-I553,ITH53	350871 	414876 	561847 	545701 	545278 
A,DOM,NR,I551-I553,ITH54	726497 	1000337 	1204541 	1249380 	1300926 
A,DOM,NR,I551-I553,ITH55	1530578 	2117905 	2656754 	2827029 	2999136 
A,DOM,NR,I551-I553,ITH56	1339239 	1712365 	1810307 	1726651 	1742598 
A,DOM,NR,I551-I553,ITH57	3571575 	4619616 	5043540 	4936075 	5092654 
A,DOM,NR,I551-I553,ITH58	2928460 	4003771 	4563162 	4502296 	4622270 
A,DOM,NR,I551-I553,ITH59	7725872 	10268394 	11105684 	10880450 	10861790 
A,DOM,NR,I551-I553,ITI	31476656 	40581035 	49521969 	50531672 	49503310 
A,DOM,NR,I551-I553,ITI1	15916940 	19963549 	20963298 	20722001 	19599594 
A,DOM,NR,I551-I553,ITI11	691547 	827840 	860436 	813636 	787543 
A,DOM,NR,I551-I553,ITI12	1243349 	1796713 	1848479 	1931170 	1712180 
A,DOM,NR,I551-I553,ITI13	467045 	604880 	800270 	839855 	798530 
A,DOM,NR,I551-I553,ITI14	1645709 	2434176 	3109903 	2948649 	2686232 
A,DOM,NR,I551-I553,ITI15	136538 	211390 	222203 	213747 	215286 
A,DOM,NR,I551-I553,ITI16	4632341 	5763766 	5731485 	5512430 	5408086 
A,DOM,NR,I551-I553,ITI17	1282733 	1452202 	1481452 	1528410 	1389587 
A,DOM,NR,I551-I553,ITI18	556556 	696498 	749936 	800329 	799872 
A,DOM,NR,I551-I553,ITI19	1617930 	2009842 	2031693 	1981225 	1887185 
A,DOM,NR,I551-I553,ITI1A	3643192 	4166242 	4127441 	4152550 	3915093 
A,DOM,NR,I551-I553,ITI2	2546477 	3485343 	4023867 	4261852 	4366760 
A,DOM,NR,I551-I553,ITI21	2162346 	2967213 	3461447 	3645696 	3751759 
A,DOM,NR,I551-I553,ITI22	384131 	518130 	562420 	616156 	615001 
A,DOM,NR,I551-I553,ITI3	6934627 	8592636 	9043229 	8931093 	8572481 
A,DOM,NR,I551-I553,ITI31	1953309 	2375874 	2487137 	2451977 	2238782 
A,DOM,NR,I551-I553,ITI32	1791497 	2257814 	2163270 	2144031 	2265774 
A,DOM,NR,I551-I553,ITI33	1308081 	1323174 	1413343 	1476650 	1323008 
A,DOM,NR,I551-I553,ITI34	1027416 	1378229 	1618485 	1458937 	1483304 
A,DOM,NR,I551-I553,ITI35	854324 	1257545 	1360994 	1399498 	1261613 
A,DOM,NR,I551-I553,ITI4	6078612 	8539507 	15491575 	16616726 	16964475 
A,DOM,NR,I551-I553,ITI41	509074 	571254 	1103832 	1135351 	903233 
A,DOM,NR,I551-I553,ITI42	61503 	80784 	119235 	123472 	135063 
A,DOM,NR,I551-I553,ITI43	4385238 	6230759 	12134726 	12908051 	13345736 
A,DOM,NR,I551-I553,ITI44	834987 	1182177 	1445999 	1632136 	1724893 
A,DOM,NR,I551-I553,ITI45	287810 	474533 	687783 	817716 	855550 
A,DOM,NR,I551-I553,LI	3337 	6084 	3707 	4525 	5277 
A,DOM,NR,I551-I553,LI0	3337 	6084 	3707 	4525 	5277 
A,DOM,NR,I551-I553,LI00	3337 	6084 	3707 	4525 	5277 
A,DOM,NR,I551-I553,LI000	3337 	6084 	3707 	4525 	5277 
A,DOM,NR,I551-I553,LT	3812166 	4359753 	5458686 	5471881 	5537953 
A,DOM,NR,I551-I553,LT0	3812166 	4359753 	5458686 	5471881 	5537953 
A,DOM,NR,I551-I553,LT01	589660 	789146 	1062595 	972527 	1008514 
A,DOM,NR,I551-I553,LT011	589660 	789146 	1062595 	972527 	1008514 
A,DOM,NR,I551-I553,LT02	3222506 	3570607 	4396091 	4499354 	4529439 
A,DOM,NR,I551-I553,LT021	606281 	713023 	870016 	860110 	908524 
A,DOM,NR,I551-I553,LT022	521865 	571259 	907808 	875093 	955361 
A,DOM,NR,I551-I553,LT023	1480115 	1642610 	1883430 	1998480 	1843315 
A,DOM,NR,I551-I553,LT024	94988 	53147 	47856 	63778 	71048 
A,DOM,NR,I551-I553,LT025	97280 	113682 	112644 	105832 	112607 
A,DOM,NR,I551-I553,LT026	58928 	100577 	130204 	144856 	160053 
A,DOM,NR,I551-I553,LT027	21199 	21659 	29232 	38460 	34851 
A,DOM,NR,I551-I553,LT028	72687 	81645 	112163 	112858 	113237 
A,DOM,NR,I551-I553,LT029	269163 	273005 	302738 	299887 	330443 
A,DOM,NR,I551-I553,LU	403414 	434995 	488592 	473681 	458952 
A,DOM,NR,I551-I553,LU0	403414 	434995 	488592 	473681 	458952 
A,DOM,NR,I551-I553,LU00	403414 	434995 	488592 	473681 	458952 
A,DOM,NR,I551-I553,LU000	403414 	434995 	488592 	473681 	458952 
A,DOM,NR,I551-I553,LV	1385037 	1516390 	1769701 	1793070 	1850960 
A,DOM,NR,I551-I553,LV0	1385037 	1516390 	1769701 	1793070 	1850960 
A,DOM,NR,I551-I553,LV00	1385037 	1516390 	1769701 	1793070 	1850960 
A,DOM,NR,I551-I553,LV003	279709 	339428 	350638 	367835 	: 
A,DOM,NR,I551-I553,LV005	130627 	132908 	142581 	165974 	162075 
A,DOM,NR,I551-I553,LV006	336044 	350800 	445072 	475303 	: 
A,DOM,NR,I551-I553,LV007	408529 	426248 	509816 	427634 	: 
A,DOM,NR,I551-I553,LV008	159937 	183005 	206057 	225848 	: 
A,DOM,NR,I551-I553,LV009	70191 	84001 	115537 	130476 	149098 
A,DOM,NR,I551-I553,LV00A	: 	: 	: 	773380 	796361 
A,DOM,NR,I551-I553,LV00B	: 	: 	: 	421166 	441986 
A,DOM,NR,I551-I553,LV00C	: 	: 	: 	302074 	301440 
A,DOM,NR,I551-I553,ME	: 	: 	528457 	564693 	597156 
A,DOM,NR,I551-I553,ME0	: 	: 	528457 	564693 	597156 
A,DOM,NR,I551-I553,ME00	: 	: 	528457 	564693 	597156 
A,DOM,NR,I551-I553,ME000	: 	: 	528457 	564693 	597156 
A,DOM,NR,I551-I553,MK	621922 	652150 	675621 	668340 	650132 
A,DOM,NR,I551-I553,MK0	621922 	652150 	675621 	668340 	650132 
A,DOM,NR,I551-I553,MK00	621922 	652150 	675621 	668340 	650132 
A,DOM,NR,I551-I553,MK001	8861 	9704 	25039 	17337 	17399 
A,DOM,NR,I551-I553,MK002	31212 	29263 	27922 	24858 	59232 
A,DOM,NR,I551-I553,MK003	368936 	345597 	318851 	327555 	310938 
A,DOM,NR,I551-I553,MK004	63037 	84354 	96953 	96061 	63490 
A,DOM,NR,I551-I553,MK005	50708 	44766 	45957 	42327 	36304 
A,DOM,NR,I551-I553,MK006	39851 	38801 	39076 	40047 	36253 
A,DOM,NR,I551-I553,MK007	6477 	2832 	5876 	4975 	42399 
A,DOM,NR,I551-I553,MK008	52840 	96833 	115947 	115180 	84117 
A,DOM,NR,I551-I553,MT	547501 	672357 	661199 	685459 	715096 
A,DOM,NR,I551-I553,MT0	547501 	672357 	661199 	685459 	715096 
A,DOM,NR,I551-I553,MT00	547501 	672357 	661199 	685459 	715096 
A,DOM,NR,I551-I553,MT001	456500 	560504 	540608 	560734 	587911 
A,DOM,NR,I551-I553,MT002	91001 	111853 	120591 	124725 	127185 
A,DOM,NR,I551-I553,NL	64042422 	82479471 	84478125 	83168429 	83819716 
A,DOM,NR,I551-I553,NL1	11731040 	13507401 	13419387 	12820643 	12863783 
A,DOM,NR,I551-I553,NL11	1326393 	1326941 	1425034 	1229788 	1330930 
A,DOM,NR,I551-I553,NL111	395283 	432173 	456660 	368560 	: 
A,DOM,NR,I551-I553,NL112	76070 	78408 	95542 	70559 	87446 
A,DOM,NR,I551-I553,NL113	855040 	816360 	872832 	790669 	: 
A,DOM,NR,I551-I553,NL114	: 	: 	: 	368560 	383613 
A,DOM,NR,I551-I553,NL115	: 	: 	: 	790669 	859871 
A,DOM,NR,I551-I553,NL12	4808518 	5526885 	5424298 	5204734 	5302861 
A,DOM,NR,I551-I553,NL124	2757114 	3357703 	3432302 	3270119 	: 
A,DOM,NR,I551-I553,NL125	1343272 	1366097 	1207999 	1192832 	: 
A,DOM,NR,I551-I553,NL126	708132 	803084 	783997 	741783 	790294 
A,DOM,NR,I551-I553,NL127	: 	: 	: 	3270119 	3147230 
A,DOM,NR,I551-I553,NL128	: 	: 	: 	1192832 	1365337 
A,DOM,NR,I551-I553,NL13	5596129 	6653575 	6570055 	6386121 	6229992 
A,DOM,NR,I551-I553,NL131	2362391 	2880185 	2896106 	2767026 	2873851 
A,DOM,NR,I551-I553,NL132	2186046 	2653788 	2546449 	2368679 	2366508 
A,DOM,NR,I551-I553,NL133	1047692 	1119601 	1127500 	1250416 	989632 
A,DOM,NR,I551-I553,NL2	17317654 	21702298 	21691442 	21612328 	21329862 
A,DOM,NR,I551-I553,NL21	5465612 	7049226 	7272498 	7334822 	6878935 
A,DOM,NR,I551-I553,NL211	2351711 	3297109 	3287422 	3013422 	3133032 
A,DOM,NR,I551-I553,NL212	407898 	494433 	483073 	487096 	360271 
A,DOM,NR,I551-I553,NL213	2706003 	3257684 	3502002 	3834304 	3385632 
A,DOM,NR,I551-I553,NL22	10438863 	12741703 	12490362 	12132107 	12545611 
A,DOM,NR,I551-I553,NL221	5690320 	7031165 	6594575 	6594446 	6706014 
A,DOM,NR,I551-I553,NL224	577193 	453087 	707364 	649550 	581628 
A,DOM,NR,I551-I553,NL225	2825524 	3571111 	3363472 	3028752 	3257389 
A,DOM,NR,I551-I553,NL226	1345826 	1686340 	1824951 	1859359 	2000580 
A,DOM,NR,I551-I553,NL23	1413179 	1911369 	1928582 	2145399 	1905316 
A,DOM,NR,I551-I553,NL230	1413179 	1911369 	1928582 	2145399 	1905316 
A,DOM,NR,I551-I553,NL3	20585812 	28104318 	29517606 	29063304 	29961550 
A,DOM,NR,I551-I553,NL31	2030617 	2740862 	3325671 	3230592 	: 
A,DOM,NR,I551-I553,NL310	2030617 	2740862 	3325671 	3230592 	: 
A,DOM,NR,I551-I553,NL32	8474133 	10831788 	12342231 	12287101 	13349741 
A,DOM,NR,I551-I553,NL321	3282308 	4388734 	3890195 	3783343 	4320172 
A,DOM,NR,I551-I553,NL323	494772 	490459 	621678 	528022 	521539 
A,DOM,NR,I551-I553,NL324	658161 	1047698 	868068 	757256 	: 
A,DOM,NR,I551-I553,NL325	82764 	102695 	109355 	109242 	117074 
A,DOM,NR,I551-I553,NL327	159207 	213353 	270728 	189117 	205075 
A,DOM,NR,I551-I553,NL328	916124 	1041843 	976921 	935029 	1059181 
A,DOM,NR,I551-I553,NL329	2880796 	3547006 	5605286 	5985092 	: 
A,DOM,NR,I551-I553,NL32A	: 	: 	: 	757256 	760124 
A,DOM,NR,I551-I553,NL32B	: 	: 	: 	5985092 	6366575 
A,DOM,NR,I551-I553,NL33	4972544 	6948154 	7744527 	7683036 	: 
A,DOM,NR,I551-I553,NL332	1060274 	1668402 	1972953 	1987096 	: 
A,DOM,NR,I551-I553,NL333	258897 	340605 	381264 	405806 	: 
A,DOM,NR,I551-I553,NL337	962252 	1412772 	1355328 	1325480 	: 
A,DOM,NR,I551-I553,NL33A	246590 	285320 	415929 	435223 	: 
A,DOM,NR,I551-I553,NL33B	412186 	595471 	602662 	461495 	: 
A,DOM,NR,I551-I553,NL33C	2032346 	2645584 	3016389 	3067935 	: 
A,DOM,NR,I551-I553,NL34	5108517 	7583514 	6105176 	5862575 	5364601 
A,DOM,NR,I551-I553,NL341	986518 	1553456 	1199321 	1332418 	1329855 
A,DOM,NR,I551-I553,NL342	4121999 	6030059 	4905856 	4530157 	4034747 
A,DOM,NR,I551-I553,NL35	: 	: 	: 	3230592 	3423832 
A,DOM,NR,I551-I553,NL350	: 	: 	: 	3230592 	3423832 
A,DOM,NR,I551-I553,NL36	: 	: 	: 	7683036 	7823376 
A,DOM,NR,I551-I553,NL361	: 	: 	: 	1987096 	2047231 
A,DOM,NR,I551-I553,NL362	: 	: 	: 	405806 	388333 
A,DOM,NR,I551-I553,NL363	: 	: 	: 	1325480 	1209084 
A,DOM,NR,I551-I553,NL364	: 	: 	: 	435223 	415973 
A,DOM,NR,I551-I553,NL365	: 	: 	: 	461495 	540622 
A,DOM,NR,I551-I553,NL366	: 	: 	: 	3067935 	3222132 
A,DOM,NR,I551-I553,NL4	14407916 	19165454 	19849690 	19672155 	19664522 
A,DOM,NR,I551-I553,NL41	6713419 	9100159 	10185232 	9935471 	10009236 
A,DOM,NR,I551-I553,NL411	931302 	1263807 	1632038 	1721600 	1784494 
A,DOM,NR,I551-I553,NL412	2032814 	2622827 	2652416 	2591622 	: 
A,DOM,NR,I551-I553,NL413	1268636 	1692354 	2064656 	1806949 	: 
A,DOM,NR,I551-I553,NL414	2480666 	3521172 	3836122 	3815300 	3914012 
A,DOM,NR,I551-I553,NL415	: 	: 	: 	2591622 	2734593 
A,DOM,NR,I551-I553,NL416	: 	: 	: 	1806949 	1576137 
A,DOM,NR,I551-I553,NL42	7694497 	10065295 	9664458 	9736684 	9655287 
A,DOM,NR,I551-I553,NL421	2608354 	3469405 	3292456 	3275070 	3195455 
A,DOM,NR,I551-I553,NL422	1431979 	1927899 	1799607 	1787426 	2033589 
A,DOM,NR,I551-I553,NL423	3654164 	4667990 	4572395 	4674188 	4426242 
A,DOM,NR,I551-I553,NO	20402530 	23782515 	26313965 	25907064 	26162501 
A,DOM,NR,I551-I553,NO0	20402530 	23782515 	26313965 	25907064 	26162501 
A,DOM,NR,I551-I553,NO02	2546287 	3058909 	3000189 	2743968 	2666462 
A,DOM,NR,I551-I553,NO020	2546287 	3058909 	3000189 	2743968 	2666462 
A,DOM,NR,I551-I553,NO06	1862039 	2059652 	2148197 	2280116 	2288833 
A,DOM,NR,I551-I553,NO060	1862039 	2059652 	2148197 	2280116 	2288833 
A,DOM,NR,I551-I553,NO07	2306841 	2698302 	2666296 	2728878 	2938353 
A,DOM,NR,I551-I553,NO071	1288894 	1488648 	1280264 	1419368 	1557949 
A,DOM,NR,I551-I553,NO072	: 	: 	: 	887470 	926548 
A,DOM,NR,I551-I553,NO073	: 	: 	: 	422040 	453856 
A,DOM,NR,I551-I553,NO074	1017947 	1209654 	1386032 	1309510 	: 
A,DOM,NR,I551-I553,NO08	4837325 	5839435 	8208526 	8041846 	8079654 
A,DOM,NR,I551-I553,NO081	1816079 	2433553 	3885065 	4018605 	4027977 
A,DOM,NR,I551-I553,NO082	3021246 	3405882 	4323461 	4023241 	: 
A,DOM,NR,I551-I553,NO083	: 	: 	: 	638130 	658078 
A,DOM,NR,I551-I553,NO084	: 	: 	: 	1925543 	2007914 
A,DOM,NR,I551-I553,NO085	: 	: 	: 	1459568 	1385685 
A,DOM,NR,I551-I553,NO09	3659973 	4130495 	4167173 	3942406 	3758508 
A,DOM,NR,I551-I553,NO091	2060108 	2268496 	2346741 	2177160 	: 
A,DOM,NR,I551-I553,NO092	1599865 	1861999 	1820432 	1765246 	1677960 
A,DOM,NR,I551-I553,NO093	: 	: 	: 	1282174 	1143223 
A,DOM,NR,I551-I553,NO094	: 	: 	: 	894986 	937325 
A,DOM,NR,I551-I553,NO0A	5143045 	5928588 	6037735 	6097761 	6365716 
A,DOM,NR,I551-I553,NO0A1	1372495 	1599376 	1660317 	1679689 	1762262 
A,DOM,NR,I551-I553,NO0A2	2642856 	3091509 	3246527 	3286444 	3461297 
A,DOM,NR,I551-I553,NO0A3	1127694 	1237703 	1130891 	1131628 	1142157 
A,DOM,NR,I551-I553,NO0B	47020 	67134 	85849 	72089 	64975 
A,DOM,NR,I551-I553,NO0B1	: 	0 	0 	0 	0 
A,DOM,NR,I551-I553,NO0B2	47020 	67134 	85849 	72089 	64975 
A,DOM,NR,I551-I553,PL	44754216 	55672507 	75194553 	75786956 	79256114 
A,DOM,NR,I551-I553,PL2	8895419 	11497818 	16088683 	15987334 	16092649 
A,DOM,NR,I551-I553,PL21	5913364 	7822276 	10817031 	10634248 	10733716 
A,DOM,NR,I551-I553,PL213	1169889 	1908300 	2767821 	2730752 	2904311 
A,DOM,NR,I551-I553,PL214	294096 	387954 	596099 	586355 	552568 
A,DOM,NR,I551-I553,PL217	111259 	130773 	193213 	177764 	164279 
A,DOM,NR,I551-I553,PL218	1284043 	1715122 	2360947 	2367706 	2446272 
A,DOM,NR,I551-I553,PL219	2864956 	3377255 	4465650 	4325868 	4228656 
A,DOM,NR,I551-I553,PL21A	189121 	302872 	433301 	445803 	437630 
A,DOM,NR,I551-I553,PL22	2982055 	3675542 	5271652 	5353086 	5358933 
A,DOM,NR,I551-I553,PL224	224671 	273369 	357421 	357689 	341675 
A,DOM,NR,I551-I553,PL225	1710449 	2060852 	2833872 	2960061 	3021576 
A,DOM,NR,I551-I553,PL227	97207 	118637 	168521 	179102 	190036 
A,DOM,NR,I551-I553,PL228	127420 	167498 	277229 	278928 	255386 
A,DOM,NR,I551-I553,PL229	165685 	211367 	326544 	309240 	304883 
A,DOM,NR,I551-I553,PL22A	311507 	408901 	660270 	656161 	665300 
A,DOM,NR,I551-I553,PL22B	261282 	324199 	476134 	449788 	424011 
A,DOM,NR,I551-I553,PL22C	83834 	110719 	171661 	162117 	156066 
A,DOM,NR,I551-I553,PL4	10472586 	13170449 	16364459 	16385277 	17386825 
A,DOM,NR,I551-I553,PL41	1784033 	2260074 	3166487 	3068537 	3192136 
A,DOM,NR,I551-I553,PL411	152196 	182933 	259599 	237255 	226793 
A,DOM,NR,I551-I553,PL414	282049 	384834 	507405 	552021 	568094 
A,DOM,NR,I551-I553,PL415	545459 	721745 	1062481 	1024807 	1097391 
A,DOM,NR,I551-I553,PL416	196921 	230994 	323255 	286699 	292119 
A,DOM,NR,I551-I553,PL417	354130 	430702 	563027 	540410 	564389 
A,DOM,NR,I551-I553,PL418	253278 	308866 	450720 	427345 	443350 
A,DOM,NR,I551-I553,PL42	7911477 	9961740 	12079938 	12287195 	13063861 
A,DOM,NR,I551-I553,PL424	391868 	480477 	639421 	630183 	676751 
A,DOM,NR,I551-I553,PL426	4449653 	5764518 	7334313 	7664648 	7901320 
A,DOM,NR,I551-I553,PL427	340255 	417235 	462933 	406433 	429031 
A,DOM,NR,I551-I553,PL428	2729701 	3299510 	3643271 	3585931 	4056759 
A,DOM,NR,I551-I553,PL43	777076 	948635 	1118034 	1029545 	1130828 
A,DOM,NR,I551-I553,PL431	366966 	500158 	595916 	518045 	539451 
A,DOM,NR,I551-I553,PL432	410110 	448477 	522118 	511500 	591377 
A,DOM,NR,I551-I553,PL5	5323812 	6249412 	9030286 	9605707 	10122771 
A,DOM,NR,I551-I553,PL51	4911675 	5785670 	8394529 	8981757 	9440922 
A,DOM,NR,I551-I553,PL514	750748 	1096941 	1596128 	1549473 	1614856 
A,DOM,NR,I551-I553,PL515	2331203 	2664538 	3737105 	4067664 	4378774 
A,DOM,NR,I551-I553,PL516	162167 	185594 	292177 	303943 	292763 
A,DOM,NR,I551-I553,PL517	1484743 	1618894 	2420826 	2625887 	2705715 
A,DOM,NR,I551-I553,PL518	182814 	219703 	348293 	434790 	448814 
A,DOM,NR,I551-I553,PL52	412137 	463742 	635757 	623950 	681849 
A,DOM,NR,I551-I553,PL523	192574 	199812 	253913 	264725 	299909 
A,DOM,NR,I551-I553,PL524	219563 	263930 	381844 	359225 	381940 
A,DOM,NR,I551-I553,PL6	10666597 	12821264 	16131067 	15948099 	17041314 
A,DOM,NR,I551-I553,PL61	2265248 	2954541 	4288054 	4425981 	4490436 
A,DOM,NR,I551-I553,PL613	577071 	731286 	1066550 	1129832 	1136435 
A,DOM,NR,I551-I553,PL616	210227 	218931 	280680 	292763 	295207 
A,DOM,NR,I551-I553,PL617	467328 	648758 	910839 	916260 	947171 
A,DOM,NR,I551-I553,PL618	131601 	163690 	219221 	194603 	222340 
A,DOM,NR,I551-I553,PL619	879021 	1191876 	1810764 	1892523 	1889283 
A,DOM,NR,I551-I553,PL62	2252726 	2456130 	2935449 	3004824 	3243017 
A,DOM,NR,I551-I553,PL621	444546 	477586 	581932 	538451 	645105 
A,DOM,NR,I551-I553,PL622	1177749 	1335174 	1563802 	1632290 	1694634 
A,DOM,NR,I551-I553,PL623	630431 	643370 	789715 	834083 	903278 
A,DOM,NR,I551-I553,PL63	6148623 	7410593 	8907564 	8517294 	9307861 
A,DOM,NR,I551-I553,PL633	1947483 	2526835 	3293013 	3200304 	3450716 
A,DOM,NR,I551-I553,PL634	2276363 	2535591 	2907978 	2767636 	3134093 
A,DOM,NR,I551-I553,PL636	1325902 	1646462 	1848480 	1772502 	1897175 
A,DOM,NR,I551-I553,PL637	447058 	512715 	615167 	529918 	547218 
A,DOM,NR,I551-I553,PL638	151817 	188990 	242926 	246934 	278659 
A,DOM,NR,I551-I553,PL7	2094701 	2690699 	3903792 	3945109 	4185334 
A,DOM,NR,I551-I553,PL71	1100193 	1343073 	2134261 	2149044 	2266519 
A,DOM,NR,I551-I553,PL711	354785 	466162 	779168 	809754 	945719 
A,DOM,NR,I551-I553,PL712	123336 	153334 	247253 	269898 	265383 
A,DOM,NR,I551-I553,PL713	318547 	359188 	503383 	485091 	493275 
A,DOM,NR,I551-I553,PL714	176267 	256679 	441240 	441473 	417661 
A,DOM,NR,I551-I553,PL715	127258 	107710 	163217 	142828 	144481 
A,DOM,NR,I551-I553,PL72	994508 	1347626 	1769531 	1796065 	1918815 
A,DOM,NR,I551-I553,PL721	464723 	610162 	811724 	798628 	864949 
A,DOM,NR,I551-I553,PL722	529785 	737464 	957807 	997437 	1053866 
A,DOM,NR,I551-I553,PL8	4115528 	4875715 	6264600 	6432244 	6501923 
A,DOM,NR,I551-I553,PL81	1332121 	1628519 	2131657 	2170817 	2161639 
A,DOM,NR,I551-I553,PL811	220034 	276911 	307362 	293840 	276368 
A,DOM,NR,I551-I553,PL812	286765 	341408 	429427 	481723 	497029 
A,DOM,NR,I551-I553,PL814	385643 	468975 	692336 	705219 	679933 
A,DOM,NR,I551-I553,PL815	439679 	541225 	702532 	690035 	708309 
A,DOM,NR,I551-I553,PL82	2016199 	2295227 	3007553 	3193047 	3200643 
A,DOM,NR,I551-I553,PL821	1228769 	1395978 	1625461 	1782659 	1863397 
A,DOM,NR,I551-I553,PL822	276959 	320570 	463405 	475063 	467308 
A,DOM,NR,I551-I553,PL823	320009 	375279 	636840 	648821 	572621 
A,DOM,NR,I551-I553,PL824	190462 	203400 	281847 	286504 	297317 
A,DOM,NR,I551-I553,PL84	767208 	951969 	1125390 	1068380 	1139641 
A,DOM,NR,I551-I553,PL841	250628 	335408 	402346 	399387 	416788 
A,DOM,NR,I551-I553,PL842	190925 	233054 	281171 	270774 	314256 
A,DOM,NR,I551-I553,PL843	325655 	383507 	441873 	398219 	408597 
A,DOM,NR,I551-I553,PL9	3185573 	4367150 	7411666 	7483186 	7925298 
A,DOM,NR,I551-I553,PL91	2446377 	3451424 	6104972 	6198322 	6558264 
A,DOM,NR,I551-I553,PL911	1703772 	2614161 	4856004 	4935289 	5275589 
A,DOM,NR,I551-I553,PL912	339287 	386461 	575090 	603906 	609587 
A,DOM,NR,I551-I553,PL913	403318 	450802 	673878 	659127 	673088 
