freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	2020 	2021 	2022 	2023 	2024 
A,DOM,NR,I551-I553,BE225	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE23	678130 	1084283 	1391249 	1393721 	1373228 
A,DOM,NR,I551-I553,BE231	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE232	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE233	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE234	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE235	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE236	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE24	491681 	694730 	1109521 	1186824 	1170534 
A,DOM,NR,I551-I553,BE241	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE242	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE25	5383561 	8843965 	8538753 	7994052 	7645762 
A,DOM,NR,I551-I553,BE251	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE252	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE253	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE254	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE255	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE256	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE257	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE258	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE3	3642837 	5345398 	5695405 	5462957 	5287219 
A,DOM,NR,I551-I553,BE31	122274 	211440 	301653 	294768 	295483 
A,DOM,NR,I551-I553,BE310	122274 	211440 	301653 	: @C	: @C
A,DOM,NR,I551-I553,BE32	418699 	700334 	755708 	719856 	708605 
A,DOM,NR,I551-I553,BE323	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE328	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE329	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE32A	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE32B	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE32C	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE32D	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE33	1106869 	1591511 	1641955 	1550548 	1462285 
